metric,datatype,statement
Total Debt (USD) (Quarter),int,Others
Total Debt (USD) (TTM),int,Others
Total Debt Growth (1y) % (Annual),%,Growth Metrics
Total Debt Growth (1y) % (Quarter),%,Growth Metrics
Total Debt Growth (1y) % (TTM),%,Growth Metrics
Total Debt Growth (3y CAGR) % (Annual),%,Growth Metrics
Total Debt Growth (3y CAGR) % (Quarter),%,Growth Metrics
Total Debt Growth (3y CAGR) % (TTM),%,Growth Metrics
Total Debt Growth (5y CAGR) % (Annual),%,Growth Metrics
Total Debt Growth (5y CAGR) % (Quarter),%,Growth Metrics
Total Debt Growth (5y CAGR) % (TTM),%,Growth Metrics
Total Debt Growth QoQ (bps) (Quarter),%,Growth Metrics
Total Debt Growth QoQ (bps) (TTM),%,Growth Metrics
Total Liabilities (Annual),int,Others
Total Liabilities (Quarter),int,Others
Total Liabilities (TTM),int,Others
Total Operating Expenses (Annual),int,Income Statement
Total Operating Expenses (Quarter),int,Income Statement
Total Operating Expenses (TTM),int,Income Statement
Total Receivables (Annual),int,Balance Sheet
Total Receivables (Quarter),int,Balance Sheet
Total Receivables (TTM),int,Balance Sheet
Working Capital (Annual),int,Others
Working Capital (Quarter),int,Others
Working Capital (TTM),int,Others
